date,party,value,mean20,mean20_missing
2016-01-04,pd,30,NA,30
2016-01-04,pd,31,NA,30.5
2016-01-04,fi,10,NA,10
2016-01-04,fi,12,NA,11
2016-01-04,ln,14.5,NA,14.5
2016-01-04,ln,15.5,NA,15
2016-01-04,fdl,5,NA,5
2016-01-04,fdl,5,NA,5
2016-01-04,m5s,29,NA,29
2016-01-04,m5s,29,NA,29
2016-01-04,others,2,NA,2
2016-01-04,others,4.5,NA,3.25
2016-01-04,si,3,NA,3
2016-01-04,si,4,NA,3.5
2016-01-04,ap,2.5,NA,2.5
2016-01-04,ap,3,NA,2.75
2016-01-06,pd,33.4,NA,31.466666666666665
2016-01-06,fi,11.1,NA,11.033333333333333
2016-01-06,ln,13.7,NA,14.566666666666666
2016-01-06,fdl,4.4,NA,4.8
2016-01-06,m5s,26,NA,28
2016-01-06,others,3.7,NA,3.4
2016-01-06,si,4.3,NA,3.7666666666666666
2016-01-06,ap,3.4,NA,2.966666666666667
2016-01-10,pd,30.8,NA,31.3
2016-01-10,fi,11.4,NA,11.125
2016-01-10,ln,16,NA,14.925
2016-01-10,fdl,5.2,NA,4.9
2016-01-10,m5s,27.8,NA,27.95
2016-01-10,others,3.2,NA,3.35
2016-01-10,si,3.4,NA,3.675
2016-01-10,ap,2.4,NA,2.825
2016-01-11,pd,30,NA,31.04
2016-01-11,pd,32,NA,31.2
2016-01-11,fi,9.5,NA,10.8
2016-01-11,fi,11.1,NA,10.85
2016-01-11,ln,15.5,NA,15.04
2016-01-11,ln,15.8,NA,15.166666666666666
2016-01-11,fdl,3.5,NA,4.62
2016-01-11,fdl,5.2,NA,4.716666666666667
2016-01-11,m5s,26.7,NA,27.7
2016-01-11,m5s,28,NA,27.75
2016-01-11,others,5.5,NA,3.7800000000000002
2016-01-11,others,5.6,NA,4.083333333333333
2016-01-11,si,3.6,NA,3.66
2016-01-11,si,4,NA,3.716666666666667
2016-01-11,ap,2,NA,2.66
2016-01-11,ap,2,NA,2.55
2016-01-13,pd,33.1,NA,31.47142857142857
2016-01-13,fi,10.7,NA,10.82857142857143
2016-01-13,ln,13.5,NA,14.928571428571429
2016-01-13,fdl,4.3,NA,4.6571428571428575
2016-01-13,m5s,26,NA,27.5
2016-01-13,others,2.5,NA,3.857142857142857
2016-01-13,si,4.8,NA,3.8714285714285714
2016-01-13,ap,3.7,NA,2.7142857142857144
2016-01-14,pd,34,NA,31.7875
2016-01-14,fi,11.1,NA,10.8625
2016-01-14,ln,15.5,NA,15
2016-01-14,fdl,3.9,NA,4.5625
2016-01-14,m5s,24,NA,27.0625
2016-01-14,others,4.4,NA,3.925
2016-01-14,si,4.1,NA,3.9
2016-01-14,ap,3,NA,2.75
2016-01-15,pd,30.5,NA,31.644444444444446
2016-01-15,fi,10,NA,10.766666666666666
2016-01-15,ln,15.5,NA,15.055555555555555
2016-01-15,fdl,5,NA,4.611111111111111
2016-01-15,m5s,27,NA,27.055555555555557
2016-01-15,others,5.2,NA,4.066666666666666
2016-01-15,si,4,NA,3.911111111111111
2016-01-15,ap,3,NA,2.7777777777777777
2016-01-17,pd,31.3,NA,31.61
2016-01-17,fi,11.6,NA,10.85
2016-01-17,ln,15.4,NA,15.09
2016-01-17,fdl,5.3,NA,4.68
2016-01-17,m5s,27,NA,27.05
2016-01-17,others,3.1,NA,3.97
2016-01-17,si,3.8,NA,3.9
