date,coalition,value,mean20_missing
2017-09-06,centre-left,27.8,27.8
2017-09-06,centre-left,29.7,28.75
2017-09-06,centre-right,33.7,33.7
2017-09-06,centre-right,34.1,33.900000000000006
2017-09-06,m5s,26.8,26.8
2017-09-06,m5s,27.6,27.200000000000003
2017-09-06,leu,7.6,7.6
2017-09-06,leu,7.7,7.65
2017-09-06,others,2.2,2.2
2017-09-06,others,2.8,2.5
2017-09-13,centre-left,30.2,29.233333333333334
2017-09-13,centre-right,33.4,33.733333333333334
2017-09-13,m5s,26.8,27.066666666666666
2017-09-13,leu,7.9,7.733333333333333
2017-09-13,others,1.7,2.2333333333333334
2017-09-16,centre-left,27.9,28.9
2017-09-16,centre-right,35.8,34.25
2017-09-16,m5s,26.4,26.9
2017-09-16,leu,7.4,7.65
2017-09-16,others,2.5,2.3
2017-09-20,centre-left,30,29.12
2017-09-20,centre-right,33.6,34.12
2017-09-20,m5s,26.8,26.88
2017-09-20,leu,7.7,7.66
2017-09-20,others,1.9,2.2199999999999998
2017-09-24,centre-left,28.1,28.95
2017-09-24,centre-right,36.3,34.483333333333334
2017-09-24,m5s,25.7,26.683333333333334
2017-09-24,leu,7.6,7.65
2017-09-24,others,2.4,2.25
2017-09-27,centre-left,30.3,29.142857142857142
2017-09-27,centre-right,33.1,34.285714285714285
2017-09-27,m5s,26.5,26.65714285714286
2017-09-27,leu,8.1,7.714285714285714
2017-09-27,others,2,2.2142857142857144
2017-09-30,centre-left,28.5,29.0625
2017-09-30,centre-right,36.4,34.55
2017-09-30,m5s,25.5,26.5125
2017-09-30,leu,7.2,7.65
2017-09-30,others,2.4,2.2375
2017-10-04,centre-left,30.3,29.2
2017-10-04,centre-right,34.3,34.52222222222222
2017-10-04,m5s,25.9,26.444444444444443
2017-10-04,leu,8,7.688888888888889
2017-10-04,others,1.5,2.1555555555555554
2017-10-05,centre-left,31.4,29.42
2017-10-05,centre-right,30.1,34.08
2017-10-05,m5s,31.5,26.95
2017-10-05,leu,7.1,7.63
2017-10-05,others,0,1.94
2017-10-07,centre-left,28.8,29.363636363636363
2017-10-07,centre-right,36.3,34.28181818181818
2017-10-07,m5s,25.8,26.845454545454544
2017-10-07,leu,6.5,7.527272727272727
2017-10-07,others,2.6,2
2017-10-08,centre-left,32.7,29.641666666666666
2017-10-08,centre-right,34.2,34.275
2017-10-08,m5s,27.3,26.883333333333333
2017-10-08,leu,5.4,7.35
2017-10-08,others,0.4,1.8666666666666667
2017-10-11,centre-left,30.4,29.7
2017-10-11,centre-right,34,34.253846153846155
2017-10-11,m5s,26.5,26.853846153846153
2017-10-11,leu,7,7.323076923076923
2017-10-11,others,2.1,1.8846153846153846
2017-10-12,centre-left,29.5,29.685714285714287
2017-10-12,centre-right,32.9,34.15714285714286
2017-10-12,m5s,27.6,26.90714285714286
2017-10-12,leu,5.2,7.171428571428572
2017-10-12,others,4.8,2.092857142857143
2017-10-15,centre-left,32.5,29.873333333333335
2017-10-15,centre-right,33.8,34.13333333333333
2017-10-15,m5s,27.9,26.973333333333333
2017-10-15,leu,5.4,7.053333333333334
2017-10-15,others,0.4,1.98
2017-10-16,centre-left,28.3,29.775
2017-10-16,centre-right,36.3,34.26875
2017-10-16,m5s,25.9,26.90625
2017-10-16,leu,7,7.05
2017-10-16,others,2.5,2.0125
2017-10-18,centre-left,31.1,29.852941176470587
2017-10-18,centre-left,33.1,30.033333333333335
2017-10-18,centre-right,34.2,34.26470588235294
2017-10-18,centre-right,35.8,34.35
2017-10-18,m5s,25.5,26.823529411764707
2017-10-18,m5s,26.9,26.82777777777778
2017-10-18,leu,5.8,6.976470588235294
2017-10-18,leu,6,6.9222222222222225
2017-10-18,others,0.4,1.9176470588235295
2017-10-18,others,1.2,1.8777777777777778
2017-10-22,centre-left,31.5,30.110526315789475
2017-10-22,centre-right,33.8,34.321052631578944
2017-10-22,m5s,28.3,26.905263157894737
2017-10-22,leu,5.8,6.863157894736842
2017-10-22,others,0.6,1.8105263157894738
2017-10-25,centre-left,29.5,30.080000000000002
2017-10-25,centre-left,30.6,30.22
2017-10-25,centre-left,33.1,30.39
2017-10-25,centre-right,32.9,34.25
2017-10-25,centre-right,33.1,34.22
2017-10-25,centre-right,36.4,34.335
2017-10-25,m5s,27,26.91
2017-10-25,m5s,27.1,26.925
2017-10-25,m5s,27.6,26.925
2017-10-25,leu,5.2,6.78
2017-10-25,leu,5.5,6.675
2017-10-25,leu,5.7,6.575
2017-10-25,others,1.3,1.785
2017-10-25,others,4.8,1.915
2017-10-25,others,5.9,2.07
2017-10-27,centre-left,27.9,30.275
2017-10-27,centre-right,32.7,34.3
2017-10-27,m5s,30.1,27.09
2017-10-27,leu,8.3,6.595
2017-10-27,others,0.9,2.03
2017-10-29,centre-left,31.4,30.45
2017-10-29,centre-right,33.3,34.175
2017-10-29,m5s,28.8,27.21
2017-10-29,leu,6.1,6.53
2017-10-29,others,0.4,1.925
2017-11-01,centre-left,30.7,30.485
2017-11-01,centre-left,32.1,30.685
2017-11-01,centre-right,33.9,34.19
2017-11-01,centre-right,35.8,34.165
2017-11-01,m5s,26.5,27.195
2017-11-01,m5s,27.4,27.28
2017-11-01,leu,5.8,6.435
2017-11-01,leu,5.9,6.35
2017-11-01,others,0.3,1.845
2017-11-01,others,1.6,1.805
2017-11-05,centre-left,31.2,30.73
2017-11-05,centre-right,33.6,34.19
2017-11-05,m5s,28.6,27.385
2017-11-05,leu,6.2,6.255
2017-11-05,others,0.4,1.725
2017-11-08,centre-left,29.6,30.785
2017-11-08,centre-left,33.1,30.925
2017-11-08,centre-right,34,34.07
2017-11-08,centre-right,36.4,34.175
2017-11-08,m5s,25.4,27.38
2017-11-08,m5s,27.8,27.475
2017-11-08,leu,6,6.195
2017-11-08,leu,6,6.095
2017-11-08,others,0.2,1.615
2017-11-08,others,1.5,1.615
2017-11-12,centre-left,30.8,30.895
2017-11-12,centre-right,34.4,34.39
2017-11-12,m5s,27.7,27.285
2017-11-12,leu,6.3,6.055
2017-11-12,others,0.8,1.655
2017-11-15,centre-left,29.6,30.935000000000002
2017-11-15,centre-left,32,30.9
2017-11-15,centre-right,33.3,34.24
2017-11-15,centre-right,36.6,34.36
2017-11-15,m5s,26.5,27.32
2017-11-15,m5s,27.5,27.33
2017-11-15,leu,6.2,6.04
2017-11-15,leu,6.2,6.08
2017-11-15,others,0.1,1.53
2017-11-15,others,2,1.61
2017-11-18,centre-left,26.5,30.705000000000002
2017-11-18,centre-right,37.4,34.53
2017-11-18,m5s,27.4,27.375
2017-11-18,leu,5.4,6
2017-11-18,others,3.3,1.67
2017-11-19,centre-left,30.6,30.76
2017-11-19,centre-right,34.3,34.6
2017-11-19,m5s,28,27.395
2017-11-19,leu,6.3,6.055
2017-11-19,others,0.8,1.47
2017-11-22,centre-left,29.4,30.605
2017-11-22,centre-left,32,30.79
2017-11-22,centre-right,33.9,34.605
2017-11-22,centre-right,36.6,34.62
2017-11-22,m5s,26.1,27.305
2017-11-22,m5s,27.5,27.385
2017-11-22,leu,6.3,6.1
2017-11-22,leu,6.3,6.065
2017-11-22,others,0.2,1.46
2017-11-22,others,1.7,1.42
2017-11-23,centre-left,29.3,30.7
2017-11-23,centre-right,35.8,34.699999999999996
2017-11-23,m5s,27.5,27.485
2017-11-23,leu,5.4,6.045
2017-11-23,others,2,1.5
2017-11-26,centre-left,27.7,30.43
