date,party,value,mean20_missing
2017-01-09,pd,30.5,30.5
2017-01-09,pd,31.4,30.95
2017-01-09,i,NA,NaN
2017-01-09,i,NA,NaN
2017-01-09,fi,12.1,12.1
2017-01-09,fi,13.4,12.75
2017-01-09,ln,12.1,12.1
2017-01-09,ln,13.4,12.75
2017-01-09,fdl,4,4
2017-01-09,fdl,4,4
2017-01-09,m5s,27.5,27.5
2017-01-09,m5s,28.8,28.15
2017-01-09,leu,NA,NaN
2017-01-09,leu,NA,NaN
2017-01-09,others,4,4
2017-01-09,others,4.3,4.15
2017-01-09,si,3,3
2017-01-09,si,3.1,3.05
2017-01-09,ap,3,3
2017-01-09,ap,3,3
2017-01-09,mdp,4.6,4.6
2017-01-09,mdp,4.8,4.699999999999999
2017-01-09,cp/ap,3.5,3.5
2017-01-09,cp/ap,3.5,3.5
2017-01-09,lcp,NA,NaN
2017-01-09,lcp,NA,NaN
2017-01-11,pd,29.5,30.466666666666665
2017-01-11,pd,30.1,30.375
2017-01-11,pd,31.6,30.62
2017-01-11,i,NA,NaN
2017-01-11,i,NA,NaN
2017-01-11,i,NA,NaN
2017-01-11,fi,12,12.5
2017-01-11,fi,12.4,12.475
2017-01-11,fi,13,12.58
2017-01-11,ln,12.5,12.666666666666666
2017-01-11,ln,13.2,12.8
2017-01-11,ln,13.2,12.879999999999999
2017-01-11,fdl,4,4
2017-01-11,fdl,4,4
2017-01-11,fdl,4,4
2017-01-11,m5s,25.7,27.333333333333332
2017-01-11,m5s,29.2,27.8
2017-01-11,m5s,30.9,28.419999999999998
2017-01-11,leu,NA,NaN
2017-01-11,leu,NA,NaN
2017-01-11,leu,NA,NaN
2017-01-11,others,3.1,3.8
2017-01-11,others,4.5,3.975
2017-01-11,others,5.3,4.24
2017-01-11,si,2.6,2.9
2017-01-11,si,3,2.925
2017-01-11,si,4,3.14
2017-01-11,ap,3,3
2017-01-11,ap,3,3
2017-01-11,ap,3,3
2017-01-11,mdp,4.4,4.6
2017-01-11,mdp,4.6,4.6
2017-01-11,mdp,4.8,4.64
2017-01-11,cp/ap,3,3.3333333333333335
2017-01-11,cp/ap,3.6,3.4
2017-01-11,cp/ap,3.8,3.48
2017-01-11,lcp,NA,NaN
2017-01-11,lcp,NA,NaN
2017-01-11,lcp,NA,NaN
2017-01-15,pd,31.6,30.783333333333335
2017-01-15,i,NA,NaN
2017-01-15,fi,11.4,12.383333333333333
2017-01-15,ln,13.1,12.916666666666666
2017-01-15,fdl,4,4
2017-01-15,m5s,27.7,28.3
2017-01-15,leu,NA,NaN
2017-01-15,others,5.6,4.466666666666667
2017-01-15,si,3,3.1166666666666667
2017-01-15,ap,3,3
2017-01-15,mdp,4.9,4.683333333333334
2017-01-15,cp/ap,2.7,3.35
2017-01-15,lcp,NA,NaN
2017-01-16,pd,30.1,30.685714285714287
2017-01-16,i,NA,NaN
2017-01-16,fi,12.9,12.457142857142857
2017-01-16,ln,12.5,12.857142857142858
2017-01-16,fdl,4,4
2017-01-16,m5s,29.8,28.514285714285712
2017-01-16,leu,NA,NaN
2017-01-16,others,3.9,4.385714285714285
2017-01-16,si,2.9,3.085714285714286
2017-01-16,ap,3,3
2017-01-16,mdp,4.7,4.685714285714286
2017-01-16,cp/ap,3.2,3.3285714285714287
2017-01-16,lcp,NA,NaN
2017-01-18,pd,31,30.725
2017-01-18,i,NA,NaN
2017-01-18,fi,13.1,12.5375
2017-01-18,ln,13.2,12.9
2017-01-18,fdl,4,4
2017-01-18,m5s,26.5,28.2625
2017-01-18,leu,NA,NaN
2017-01-18,others,5.1,4.475
2017-01-18,si,2.7,3.0375
2017-01-18,ap,3,3
2017-01-18,mdp,4.6,4.675
